station,station
七張,87086
三和國中,64885
三民高中,65664
三重,37306
三重國小,64599
中原,14786
中和,25598
中山,232670
中山國中,72070
中山國小,88295
中正紀念堂,128549
丹鳳,50350
亞東醫院,118973
信義安和,100030
先嗇宮,25023
內湖,50656
公館,143129
六張犁,58765
劍南路,60237
劍潭,142103
動物園,31834
北投,102715
北門,63282
十四張,6001
南京三民,121329
南京復興,207591
南勢角,108794
南港,106452
南港展覽館,147662
南港軟體園區,27692
古亭,169830
台北101/世貿,146117
台北小巨蛋,117795
台北橋,54458
台北車站,700931
台大醫院,114717
台電大樓,91099
唭哩岸,37658
善導寺,110266
國父紀念館,111615
圓山,148805
土城,41548
士林,145652
大坪林,122186
大安,126183
大安森林公園,46928
大橋頭站,63925
大湖公園,18850
大直,47676
奇岩,41239
小南門,48273
小碧潭,20747
市政府,335860
幸福,20037
府中,147253
後山埤,86955
徐匯中學,68412
復興崗,20238
忠孝復興,233532
忠孝敦化,183474
忠孝新生,167421
忠義,17102
文德,28521
新北投,28110
新北產業園區,21899
新埔,204178
新埔民生,12673
新店,64984
新店區公所,67754
新莊,59835
昆陽,76430
明德,64834
景安,136932
景平,19937
景美,90675
木柵,23442
東湖,45011
東門,124643
松山,117911
松山機場,21674
松江南京,186049
板新,14044
板橋,266609
橋和,10626
民權西路,118156
永安市場,139307
永寧,70341
永春,107201
江子翠,140223
海山,119028
淡水,175805
港墘,80989
石牌,160632
秀朗橋,13550
科技大樓,71961
竹圍,52321
紅樹林,67006
芝山,125213
菜寮,54218
萬芳社區,11126
萬芳醫院,69852
萬隆,54063
葫洲,43420
蘆洲,71940
行天宮,146640
西湖,82164
西門,326475
象山,67558
輔大,64522
辛亥,16886
迴龍,55444
關渡,68583
雙連,111949
頂埔,47148
頂溪,193854
頭前庄,31476
麟光,22231
龍山寺,140353
